Date,Price,Log_Returns
2025-01-01,23742.90039,NA
2025-01-02,24188.65039,1.859997616
2025-01-03,24004.75,-0.76318036
2025-01-06,23616.05078,-1.632512873
2025-01-07,23707.90039,0.38817437
2025-01-08,23688.94922,-0.07996807
2025-01-09,23526.5,-0.688121632
2025-01-10,23431.5,-0.404617444
2025-01-13,23085.94922,-1.485709742
2025-01-14,23176.05078,0.389527804
2025-01-15,23213.19922,0.160159716
2025-01-16,23311.80078,0.423865492
2025-01-17,23203.19922,-0.466953713
2025-01-20,23344.75,0.608195291
2025-01-21,23024.65039,-1.380672131
2025-01-22,23155.34961,0.566044035
2025-01-23,23205.34961,0.215700023
2025-01-24,23092.19922,-0.488797436
2025-01-27,22829.15039,-1.145661909
2025-01-28,22957.25,0.559554551
2025-01-29,23163.09961,0.892668759
2025-01-30,23249.5,0.372314807
2025-01-31,23508.40039,1.107419428
2025-02-01,23482.15039,-0.111724601
2025-02-03,23361.05078,-0.517043567
2025-02-04,23739.25,1.605965741
2025-02-05,23696.30078,-0.181084565
2025-02-06,23603.34961,-0.393031622
2025-02-07,23559.94922,-0.184043118
2025-02-10,23381.59961,-0.759883182
2025-02-11,23071.80078,-1.333824514
2025-02-12,23045.25,-0.115145196
2025-02-13,23031.40039,-0.060115523
2025-02-14,22929.25,-0.444513113
2025-02-17,22959.5,0.131840612
2025-02-18,22945.30078,-0.061863766
2025-02-19,22932.90039,-0.054057878
2025-02-20,22913.15039,-0.086157917
2025-02-21,22795.90039,-0.513028624
2025-02-24,22553.34961,-1.069711601
2025-02-25,22547.55078,-0.025714911
2025-02-27,22545.05078,-0.011088293
2025-02-28,22124.69922,-1.882096814
2025-03-03,22119.30078,-0.024403027
2025-03-04,22082.65039,-0.165831589
2025-03-05,22337.30078,1.146571185
2025-03-06,22544.69922,0.924200854
2025-03-07,22552.5,0.034595414
2025-03-10,22460.30078,-0.409658346
2025-03-11,22497.90039,0.16726478
2025-03-12,22470.5,-0.121865104
2025-03-13,22397.19922,-0.326742167
2025-03-17,22508.75,0.496820634
2025-03-18,22834.30078,1.435970318
2025-03-19,22907.59961,0.320489049
2025-03-20,23190.65039,1.228048086
2025-03-21,23350.40039,0.686493428
2025-03-24,23658.34961,1.310197034
2025-03-25,23668.65039,0.043530253
2025-03-26,23486.84961,-0.771073075
2025-03-27,23591.94922,0.44648456
2025-03-28,23519.34961,-0.308204905
2025-04-01,23165.69922,-1.51507673
2025-04-02,23332.34961,0.716809021
2025-04-03,23250.09961,-0.35313766
2025-04-04,22904.44922,-1.497823558
2025-04-07,22161.59961,-3.29701369
2025-04-08,22535.84961,1.674631339
2025-04-09,22399.15039,-0.608432805
2025-04-11,22828.55078,1.898895067
2025-04-15,23328.55078,2.166598603
2025-04-16,23437.19922,0.464650446
2025-04-17,23851.65039,1.752894339
2025-04-21,24125.55078,1.141806357
2025-04-22,24167.25,0.172693356
2025-04-23,24328.94922,0.666855632
2025-04-24,24246.69922,-0.338647373
2025-04-25,24039.34961,-0.858843865
2025-04-28,24328.5,1.195644783
2025-04-29,24335.94922,0.030614623
2025-04-30,24334.19922,-0.007191266
2025-05-02,24346.69922,0.051354846
2025-05-05,24461.15039,0.468987602
2025-05-06,24379.59961,-0.333945965
2025-05-07,24414.40039,0.142643715
2025-05-08,24273.80078,-0.577552659
2025-05-09,24008,-1.101050343
2025-05-12,24924.69922,3.747214018
2025-05-13,24578.34961,-1.399329008
2025-05-14,24666.90039,0.359632154
2025-05-15,25062.09961,1.589444947
2025-05-16,25019.80078,-0.168918663
2025-05-19,24945.44922,-0.297613311
2025-05-20,24683.90039,-1.054018445
2025-05-21,24813.44922,0.523458831
2025-05-22,24609.69922,-0.824517097
2025-05-23,24853.15039,0.984387837
2025-05-26,25001.15039,0.593731864
2025-05-27,24826.19922,-0.702232377
2025-05-28,24752.44922,-0.297507321
2025-05-29,24833.59961,0.327311673
2025-05-30,24750.69922,-0.334381931
2025-06-02,24716.59961,-0.137867301
2025-06-03,24542.5,-0.706875829
2025-06-04,24620.19922,0.316090388
2025-06-05,24750.90039,0.52946553
2025-06-06,25003.05078,1.01359809
2025-06-09,25103.19922,0.399744826
2025-06-10,25104.25,0.004185758
2025-06-11,25141.40039,0.147875078
2025-06-12,24888.19922,-1.012214112
2025-06-13,24718.59961,-0.68377833
2025-06-16,24946.5,0.917755092
2025-06-17,24853.40039,-0.373895197
2025-06-18,24812.05078,-0.166512608
2025-06-19,24793.25,-0.075801504
2025-06-20,25112.40039,1.27903249
2025-06-23,24971.90039,-0.561055526
2025-06-24,25044.34961,0.289702924
2025-06-25,25244.75,0.796997572
2025-06-26,25549,1.197996363
2025-06-27,25637.80078,0.346967847
2025-06-30,25517.05078,-0.472096861
2025-07-01,25541.80078,0.096946959
2025-07-02,25453.40039,-0.346701169
2025-07-03,25405.30078,-0.189150028
2025-07-04,25461,0.219002523
2025-07-07,25461.30078,0.001181334
2025-07-08,25522.5,0.240073306
2025-07-09,25476.09961,-0.181967363
2025-07-10,25355.25,-0.475493324
2025-07-11,25149.84961,-0.813389241
2025-07-14,25082.30078,-0.268946753
2025-07-15,25195.80078,0.451489572
2025-07-16,25212.05078,0.064474085
2025-07-17,25111.44922,-0.399819951
2025-07-18,24968.40039,-0.571284532
2025-07-21,25090.69922,0.488618742
2025-07-22,25060.90039,-0.11883502
2025-07-23,25219.90039,0.632450269
2025-07-24,25062.09961,-0.627665166
2025-07-25,24837,-0.902225243
2025-07-28,24680.90039,-0.630479585
2025-07-29,24821.09961,0.566440118
2025-07-30,24855.05078,0.136690049
2025-07-31,24768.34961,-0.349436997
2025-08-01,24565.34961,-0.822971514
2025-08-04,24722.75,0.638697483
2025-08-05,24649.55078,-0.296519592
2025-08-06,24574.19922,-0.306159613
2025-08-07,24596.15039,0.08928622
2025-08-08,24363.30078,-0.951200879
2025-08-11,24585.05078,0.906063269
2025-08-12,24487.40039,-0.39798509
2025-08-13,24619.34961,0.537398774
2025-08-14,24631.30078,0.048532038
2025-08-18,24876.94922,0.992361691
2025-08-19,24980.65039,0.415990029
2025-08-20,25050.55078,0.279427375
2025-08-21,25083.75,0.132441155
2025-08-22,24870.09961,-0.855396311
2025-08-25,24967.75,0.391872909
2025-08-26,24712.05078,-1.029398157
2025-08-28,24500.90039,-0.858114302
2025-08-29,24426.84961,-0.302694638
2025-09-01,24625.05078,0.80813281
2025-09-02,24579.59961,-0.184743452
2025-09-03,24715.05078,0.549558671
2025-09-04,24734.30078,0.077857446
2025-09-05,24741,0.027081063
2025-09-08,24773.15039,0.129863463
2025-09-09,24868.59961,0.384552665
2025-09-10,24973.09961,0.419328212
2025-09-11,25005.5,0.129657075
2025-09-12,25114,0.43296589
2025-09-15,25069.19922,-0.178548972
2025-09-16,25239.09961,0.675439403
2025-09-17,25330.25,0.360496981
2025-09-18,25423.59961,0.367852746
2025-09-19,25327.05078,-0.380483576
2025-09-22,25202.34961,-0.493579675
2025-09-23,25169.5,-0.130428461
2025-09-24,25056.90039,-0.448368974
2025-09-25,24890.84961,-0.664900393
2025-09-26,24654.69922,-0.953273037
2025-09-29,24634.90039,-0.080336742
2025-09-30,24611.09961,-0.096660777
2025-10-01,24836.30078,0.910877932
2025-10-03,24894.25,0.233052898
2025-10-06,25077.65039,0.734017368
2025-10-07,25108.30078,0.122147309
2025-10-08,25046.15039,-0.247836118
2025-10-09,25181.80078,0.540140369
2025-10-10,25285.34961,0.410361879
2025-10-13,25227.34961,-0.229645322
2025-10-14,25145.5,-0.324975387
2025-10-15,25323.55078,0.705586957
2025-10-16,25585.30078,1.028317467
2025-10-17,25709.84961,0.485617342
2025-10-20,25843.15039,0.517141886
2025-10-21,25868.59961,0.098427227
2025-10-23,25891.40039,0.088101943
2025-10-24,25795.15039,-0.372437742
2025-10-27,25966.05078,0.660344072
2025-10-28,25936.19922,-0.115029949
2025-10-29,26053.90039,0.452783795
2025-10-30,25877.84961,-0.678010873
2025-10-31,25722.09961,-0.603684598
2025-11-03,25763.34961,0.160239483
2025-11-04,25597.65039,-0.645235855
2025-11-06,25509.69922,-0.344182429
2025-11-07,25492.30078,-0.068226494
2025-11-10,25574.34961,0.321340437
2025-11-11,25694.94922,0.470456334
2025-11-12,25875.80078,0.701375504
2025-11-13,25879.15039,0.012944112
2025-11-14,25910.05078,0.119331419
2025-11-17,26013.44922,0.398272744
2025-11-18,25910.05078,-0.398272744
2025-11-19,26052.65039,0.548855098
2025-11-20,26192.15039,0.5340257
2025-11-21,26068.15039,-0.474548485
2025-11-24,25959.5,-0.417664637
2025-11-25,25884.80078,-0.288167723
2025-11-26,26205.30078,1.230575617
2025-11-27,26215.55078,0.039106576
2025-11-28,26202.94922,-0.048080593
2025-12-01,26175.75,-0.103856039
2025-12-02,26032.19922,-0.549920635
2025-12-03,25986,-0.177627183
2025-12-04,26033.75,0.183584171
2025-12-05,26186.44922,0.584829841
2025-12-08,25960.55078,-0.866396343
2025-12-09,25839.65039,-0.46679591
2025-12-10,25758,-0.316489058
2025-12-11,25898.55078,0.544175428
2025-12-12,26046.94922,0.571363607
2025-12-15,26027.30078,-0.075463164
2025-12-16,25860.09961,-0.644479197
2025-12-17,25818.55078,-0.160796912
2025-12-18,25815.55078,-0.011620227
2025-12-19,25966.40039,0.582635581
2025-12-22,26172.40039,0.79020257
2025-12-23,26177.15039,0.018147243
2025-12-24,26142.09961,-0.133988108
2025-12-26,26042.30078,-0.382485758
2025-12-29,25942.09961,-0.385505249
2025-12-30,25938.84961,-0.012528684
2025-12-31,26129.59961,0.732692662
